B01003_001E,state,county,tract,geoid
2579,36,061,003700,36061003700
3022,36,061,008601,36061008601
16684,36,061,004400,36061004400
4313,36,061,008603,36061008603
0,36,061,008602,36061008602
6323,36,061,016500,36061016500
11803,36,061,027900,36061027900
1154,36,061,011203,36061011203
7258,36,061,018400,36061018400
3190,36,061,003601,36061003601
1015,36,061,004500,36061004500
2059,36,061,005502,36061005502
3783,36,061,005600,36061005600
4219,36,061,006200,36061006200
6117,36,061,007700,36061007700
5013,36,061,008000,36061008000
7500,36,061,009000,36061009000
7530,36,061,023600,36061023600
8418,36,061,016900,36061016900
8974,36,061,017100,36061017100
8915,36,061,017900,36061017900
8326,36,061,018200,36061018200
7270,36,061,018300,36061018300
1602,36,061,009200,36061009200
919,36,061,010400,36061010400
1097,36,061,011900,36061011900
10850,36,061,013200,36061013200
12076,36,061,013400,36061013400
15959,36,061,013600,36061013600
6943,36,061,014402,36061014402
3135,36,061,014801,36061014801
9755,36,061,015700,36061015700
5136,36,061,015801,36061015801
6204,36,061,016100,36061016100
7286,36,061,016400,36061016400
3895,36,061,019600,36061019600
8212,36,061,018000,36061018000
4695,36,061,018500,36061018500
3504,36,061,019000,36061019000
7661,36,061,022400,36061022400
9761,36,061,019300,36061019300
6517,36,061,019400,36061019400
4324,36,061,021200,36061021200
9161,36,061,023200,36061023200
3190,36,061,023900,36061023900
8229,36,061,024100,36061024100
8869,36,061,029300,36061029300
20,36,061,029700,36061029700
2602,36,061,019702,36061019702
2852,36,061,019800,36061019800
182,36,061,010900,36061010900
3689,36,061,007500,36061007500
3844,36,061,008300,36061008300
4965,36,061,009700,36061009700
7144,36,061,010601,36061010601
13330,36,061,012600,36061012600
110,36,061,011300,36061011300
7920,36,061,012100,36061012100
2553,36,061,012200,36061012200
7122,36,061,012900,36061012900
6419,36,061,013700,36061013700
12201,36,061,013800,36061013800
7414,36,061,015200,36061015200
1273,36,061,010100,36061010100
6539,36,061,012700,36061012700
2696,36,061,013100,36061013100
5679,36,061,013300,36061013300
4493,36,061,014200,36061014200
4973,36,061,014900,36061014900
2126,36,061,015001,36061015001
4999,36,061,015002,36061015002
13554,36,061,015400,36061015400
6822,36,061,016300,36061016300
4023,36,061,019200,36061019200
7133,36,061,019500,36061019500
8724,36,061,019900,36061019900
4950,36,061,020500,36061020500
8385,36,061,023000,36061023000
6776,36,061,023501,36061023501
10619,36,061,006600,36061006600
7677,36,061,006800,36061006800
3264,36,061,008200,36061008200
1956,36,061,008400,36061008400
5383,36,061,008900,36061008900
5759,36,061,009900,36061009900
9731,36,061,000600,36061000600
8993,36,061,000800,36061000800
4151,36,061,002400,36061002400
5508,36,061,002500,36061002500
6365,36,061,002900,36061002900
4635,36,061,005400,36061005400
5624,36,061,007100,36061007100
4379,36,061,007900,36061007900
54,36,061,009400,36061009400
9192,36,061,010800,36061010800
6909,36,061,011000,36061011000
824,36,061,011201,36061011201
3331,36,061,011600,36061011600
10052,36,061,012400,36061012400
3779,36,061,011500,36061011500
4242,36,061,011700,36061011700
3466,36,061,013000,36061013000
8254,36,061,013500,36061013500
5018,36,061,014401,36061014401
7560,36,061,014602,36061014602
6786,36,061,014802,36061014802
4519,36,061,015802,36061015802
100,36,061,010200,36061010200
3574,36,061,016002,36061016002
141,36,061,009600,36061009600
1768,36,061,010000,36061010000
4562,36,061,010602,36061010602
1137,36,061,011401,36061011401
5683,36,061,012800,36061012800
10061,36,061,015300,36061015300
7677,36,061,017000,36061017000
1731,36,061,000900,36061000900
1455,36,061,001001,36061001001
8809,36,061,000700,36061000700
1990,36,061,010300,36061010300
8767,36,061,011800,36061011800
9342,36,061,015900,36061015900
15456,36,061,024500,36061024500
4590,36,061,002000,36061002000
6090,36,061,003900,36061003900
0,36,061,000100,36061000100
9492,36,061,019100,36061019100
514,36,061,019701,36061019701
8037,36,061,022301,36061022301
3664,36,061,020600,36061020600
6865,36,061,021800,36061021800
6026,36,061,022000,36061022000
7014,36,061,023300,36061023300
5058,36,061,023400,36061023400
7680,36,061,024700,36061024700
1083,36,061,024900,36061024900
13220,36,061,026100,36061026100
9487,36,061,026300,36061026300
3475,36,061,027500,36061027500
7997,36,061,028500,36061028500
5475,36,061,005900,36061005900
5262,36,061,006700,36061006700
2523,36,061,006900,36061006900
8232,36,061,007000,36061007000
5887,36,061,007300,36061007300
1991,36,061,007600,36061007600
7762,36,061,008100,36061008100
6247,36,061,009100,36061009100
9260,36,061,009300,36061009300
9421,36,061,017700,36061017700
5324,36,061,015601,36061015601
3755,36,061,016001,36061016001
9906,36,061,016200,36061016200
7380,36,061,018600,36061018600
3656,36,061,020000,36061020000
4441,36,061,020102,36061020102
3596,36,061,021400,36061021400
2559,36,061,022102,36061022102
5772,36,061,022800,36061022800
9021,36,061,022900,36061022900
1986,36,061,023502,36061023502
8051,36,061,004100,36061004100
4816,36,061,022600,36061022600
8146,36,061,026500,36061026500
8864,36,061,003800,36061003800
3521,36,061,005800,36061005800
7285,36,061,008800,36061008800
3056,36,061,012000,36061012000
9991,36,061,015500,36061015500
6747,36,061,016600,36061016600
6303,36,061,016700,36061016700
13389,36,061,025300,36061025300
9554,36,061,018100,36061018100
3510,36,061,020901,36061020901
3407,36,061,022302,36061022302
1862,36,061,024000,36061024000
4010,36,061,001200,36061001200
3166,36,061,001401,36061001401
6993,36,061,001501,36061001501
3931,36,061,004300,36061004300
4410,36,061,004900,36061004900
3448,36,061,005200,36061005200
5241,36,061,003300,36061003300
3082,36,061,003602,36061003602
6249,36,061,004800,36061004800
4597,36,061,005501,36061005501
5348,36,061,006000,36061006000
4962,36,061,006100,36061006100
7463,36,061,007200,36061007200
4175,36,061,007400,36061007400
2835,36,061,000201,36061000201
7764,36,061,000202,36061000202
7926,36,061,001502,36061001502
1901,36,061,002202,36061002202
1431,36,061,002700,36061002700
2236,36,061,004700,36061004700
5202,36,061,005000,36061005000
3168,36,061,009500,36061009500
3675,36,061,002601,36061002601
3845,36,061,002602,36061002602
9073,36,061,026900,36061026900
3298,36,061,028100,36061028100
7781,36,061,028300,36061028300
12654,36,061,029100,36061029100
8298,36,061,029500,36061029500
6086,36,061,025500,36061025500
3450,36,061,022200,36061022200
7133,36,061,001600,36061001600
6486,36,061,002100,36061002100
6690,36,061,002800,36061002800
4639,36,061,001300,36061001300
2748,36,061,001402,36061001402
6471,36,061,002201,36061002201
3952,36,061,003001,36061003001
2659,36,061,003100,36061003100
6410,36,061,003400,36061003400
5202,36,061,004200,36061004200
4581,36,061,030300,36061030300
2769,36,061,005700,36061005700
7186,36,061,008700,36061008700
9609,36,061,027100,36061027100
3785,36,061,030700,36061030700
5372,36,061,001002,36061001002
7490,36,061,001800,36061001800
10240,36,061,021100,36061021100
8503,36,061,021600,36061021600
6220,36,061,021900,36061021900
7292,36,061,023700,36061023700
2735,36,061,025100,36061025100
2056,36,061,026700,36061026700
5783,36,061,017200,36061017200
6001,36,061,021303,36061021303
4469,36,061,021500,36061021500
8,36,061,021703,36061021703
5201,36,061,022700,36061022700
6901,36,061,023100,36061023100
8533,36,061,023801,36061023801
3149,36,061,023802,36061023802
4658,36,061,024200,36061024200
4637,36,061,025700,36061025700
3773,36,061,025900,36061025900
4072,36,061,029900,36061029900
5593,36,061,031703,36061031703
9989,36,061,031704,36061031704
7200,36,061,009800,36061009800
5580,36,061,020800,36061020800
2412,36,061,017402,36061017402
8534,36,061,018700,36061018700
11800,36,061,018900,36061018900
7581,36,061,021000,36061021000
10495,36,061,022500,36061022500
4962,36,061,024301,36061024301
7783,36,061,024302,36061024302
7070,36,061,027300,36061027300
4090,36,061,028700,36061028700
10663,36,061,030900,36061030900
0,36,061,031100,36061031100
8234,36,061,004000,36061004000
1795,36,061,011402,36061011402
6800,36,061,027700,36061027700
0,36,061,031900,36061031900
4838,36,061,011100,36061011100
7529,36,061,014000,36061014000
9253,36,061,015100,36061015100
2458,36,061,015602,36061015602
4941,36,061,016800,36061016800
8974,36,061,017300,36061017300
10756,36,061,017500,36061017500
0,36,061,000500,36061000500
2915,36,061,003002,36061003002
6492,36,061,006300,36061006300
3684,36,061,017800,36061017800
5804,36,061,018800,36061018800
3423,36,061,020300,36061020300
10465,36,061,013900,36061013900
5960,36,061,014500,36061014500
3350,36,061,014700,36061014700
7800,36,061,006400,36061006400
6423,36,061,006500,36061006500
2407,36,061,012500,36061012500
1803,36,061,020101,36061020101
8965,36,061,007800,36061007800
363,36,061,011202,36061011202
3,36,061,014300,36061014300
4566,36,061,017401,36061017401
3036,36,061,020701,36061020701
7822,36,061,003200,36061003200
4268,36,061,014601,36061014601
